N          d          numCycles  lookedAt   ratio      traversed  ratio     
100        5          8          1673       2.788333   338        0.563333  
100        5          12         1451       2.418333   294        0.490000  
100        5          10         1823       3.038333   374        0.623333  
100        5          9          1658       2.763333   336        0.560000  
100        5          11         1538       2.563333   312        0.520000  
100        5          6          1388       2.313333   272        0.453333  
100        5          6          1683       2.805000   332        0.553333  
100        5          5          1514       2.523333   296        0.493333  
100        5          8          1934       3.223333   396        0.660000  
100        5          17         1592       2.653333   332        0.553333  
100        5          9          1283       2.138333   252        0.420000  
100        5          9          1505       2.508333   302        0.503333  
100        5          8          1403       2.338333   278        0.463333  
100        5          9          1325       2.208333   262        0.436667  
100        5          9          1271       2.118333   250        0.416667  
100        5          10         2210       3.683333   460        0.766667  
100        5          5          1286       2.143333   248        0.413333  
100        5          9          1244       2.073333   244        0.406667  
100        5          10         1773       2.955000   362        0.603333  
100        5          12         1887       3.145000   390        0.650000  
100        5          11         1538       2.563333   312        0.520000  
100        5          8          1745       2.908333   354        0.590000  
100        5          11         1457       2.428333   294        0.490000  
100        5          9          2072       3.453333   428        0.713333  
100        5          6          1535       2.558333   302        0.503333  
100        5          10         1550       2.583333   310        0.516667  
100        5          9          1352       2.253333   268        0.446667  
100        5          9          1694       2.823333   344        0.573333  
100        5          5          1232       2.053333   236        0.393333  
100        5          10         1472       2.453333   296        0.493333  
100        5          6          1505       2.508333   298        0.496667  
100        5          10         1661       2.768333   338        0.563333  
100        5          4          1501       2.501667   290        0.483333  
100        5          11         1637       2.728333   334        0.556667  
100        5          8          1677       2.795000   338        0.563333  
100        5          7          1562       2.603333   312        0.520000  
100        5          7          1400       2.333333   276        0.460000  
100        5          11         1754       2.923333   356        0.593333  
100        5          9          1271       2.118333   250        0.416667  
100        5          11         1367       2.278333   274        0.456667  
100        5          6          1289       2.148333   250        0.416667  
100        5          10         1776       2.960000   360        0.600000  
100        5          9          1622       2.703333   328        0.546667  
100        5          10         1814       3.023333   372        0.620000  
100        5          10         1652       2.753333   336        0.560000  
100        5          9          2135       3.558333   442        0.736667  
100        5          8          1421       2.368333   282        0.470000  
100        5          6          2082       3.470000   422        0.703333  
100        5          8          1646       2.743333   332        0.553333  
100        5          9          1316       2.193333   260        0.433333  
100        5          5          1540       2.566667   304        0.506667  
100        5          13         1769       2.948333   366        0.610000  
100        5          8          1358       2.263333   268        0.446667  
100        5          11         1475       2.458333   298        0.496667  
100        5          8          1448       2.413333   288        0.480000  
100        7          14         2636       3.295000   392        0.490000  
100        7          12         2353       2.941250   346        0.432500  
100        7          10         1914       2.392500   276        0.345000  
100        7          11         2205       2.756250   322        0.402500  
100        7          12         1885       2.356250   274        0.342500  
100        7          11         1841       2.301250   266        0.332500  
100        7          11         1698       2.122500   244        0.305000  
100        7          13         1799       2.248750   262        0.327500  
100        7          11         1776       2.220000   256        0.320000  
100        7          9          1896       2.370000   272        0.340000  
100        7          9          1870       2.337500   268        0.335000  
100        7          12         1664       2.080000   240        0.300000  
100        7          10         2252       2.815000   328        0.410000  
100        7          9          2247       2.808750   326        0.407500  
100        7          10         2460       3.075000   360        0.450000  
100        7          12         2223       2.778750   326        0.407500  
100        7          11         2400       3.000000   352        0.440000  
100        7          9          2585       3.231250   378        0.472500  
100        7          12         2093       2.616250   306        0.382500  
100        7          11         1854       2.317500   268        0.335000  
100        7          10         2044       2.555000   296        0.370000  
100        7          9          2117       2.646250   306        0.382500  
100        7          11         2491       3.113750   366        0.457500  
100        7          13         2098       2.622500   308        0.385000  
100        7          11         2205       2.756250   322        0.402500  
100        7          7          1808       2.260000   256        0.320000  
100        7          11         2101       2.626250   306        0.382500  
100        7          8          2073       2.591250   298        0.372500  
100        7          9          1948       2.435000   280        0.350000  
100        7          11         2543       3.178750   374        0.467500  
100        7          8          1800       2.250000   256        0.320000  
100        7          10         2135       2.668750   310        0.387500  
100        7          9          1727       2.158750   246        0.307500  
100        7          13         2423       3.028750   358        0.447500  
100        7          12         2262       2.827500   332        0.415000  
100        7          7          2185       2.731250   314        0.392500  
100        7          9          2156       2.695000   312        0.390000  
100        7          12         2249       2.811250   330        0.412500  
100        7          14         1999       2.498750   294        0.367500  
100        7          14         2324       2.905000   344        0.430000  
100        7          11         1815       2.268750   262        0.327500  
100        7          12         2288       2.860000   336        0.420000  
100        7          10         2187       2.733750   318        0.397500  
100        7          11         2127       2.658750   310        0.387500  
100        7          11         1984       2.480000   288        0.360000  
100        7          10         2434       3.042500   356        0.445000  
100        7          10         1862       2.327500   268        0.335000  
100        7          5          1909       2.386250   268        0.335000  
100        7          13         2358       2.947500   348        0.435000  
100        7          8          1865       2.331250   266        0.332500  
100        7          13         2176       2.720000   320        0.400000  
100        7          10         2343       2.928750   342        0.427500  
100        7          11         1997       2.496250   290        0.362500  
100        7          8          2229       2.786250   322        0.402500  
100        7          11         1698       2.122500   244        0.305000  
100        7          11         1997       2.496250   290        0.362500  
100        7          13         1851       2.313750   270        0.337500  
100        7          9          1896       2.370000   272        0.340000  
100        7          12         2249       2.811250   330        0.412500  
100        7          6          1777       2.221250   250        0.312500  
100        7          14         2142       2.677500   316        0.395000  
100        7          6          1881       2.351250   266        0.332500  
100        7          15         2095       2.618750   310        0.387500  
100        7          10         1966       2.457500   284        0.355000  
100        7          12         2002       2.502500   292        0.365000  
100        7          9          2351       2.938750   342        0.427500  
100        7          7          1834       2.292500   260        0.325000  
100        7          14         1778       2.222500   260        0.325000  
100        7          10         1667       2.083750   238        0.297500  
100        7          10         2083       2.603750   302        0.377500  
100        7          8          2372       2.965000   344        0.430000  
100        7          11         2452       3.065000   360        0.450000  
100        7          10         1888       2.360000   272        0.340000  
100        7          10         1875       2.343750   270        0.337500  
100        7          12         2366       2.957500   348        0.435000  
100        7          8          1852       2.315000   264        0.330000  
100        7          10         2148       2.685000   312        0.390000  
100        7          11         1711       2.138750   246        0.307500  
100        7          7          2809       3.511250   410        0.512500  
100        7          10         2421       3.026250   354        0.442500  
100        7          13         1500       1.875000   216        0.270000  
100        7          17         1923       2.403750   286        0.357500  
100        7          11         1776       2.220000   256        0.320000  
100        7          8          1904       2.380000   272        0.340000  
100        7          10         1914       2.392500   276        0.345000  
100        7          14         2285       2.856250   338        0.422500  
100        7          10         2031       2.538750   294        0.367500  
100        7          9          1714       2.142500   244        0.305000  
100        7          11         2023       2.528750   294        0.367500  
100        7          11         2075       2.593750   302        0.377500  
100        7          12         1781       2.226250   258        0.322500  
100        7          9          2130       2.662500   308        0.385000  
100        7          19         1816       2.270000   272        0.340000  
100        7          10         2083       2.603750   302        0.377500  
100        7          9          2377       2.971250   346        0.432500  
100        7          8          1761       2.201250   250        0.312500  
100        7          7          2562       3.202500   372        0.465000  
100        7          12         1768       2.210000   256        0.320000  
100        7          9          2000       2.500000   288        0.360000  
100        7          12         2106       2.632500   308        0.385000  
100        9          14         3307       3.307000   382        0.382000  
100        9          7          2187       2.187000   242        0.242000  
100        9          16         2182       2.182000   252        0.252000  
100        9          10         2361       2.361000   266        0.266000  
100        9          9          3000       3.000000   340        0.340000  
100        9          9          2320       2.320000   260        0.260000  
100        9          13         2331       2.331000   266        0.266000  
100        9          10         2225       2.225000   250        0.250000  
100        9          12         2120       2.120000   240        0.240000  
100        9          12         2256       2.256000   256        0.256000  
100        9          8          1990       1.990000   220        0.220000  
100        9          12         2664       2.664000   304        0.304000  
100        9          13         2586       2.586000   296        0.296000  
100        9          12         2086       2.086000   236        0.236000  
100        9          12         2392       2.392000   272        0.272000  
100        9          11         2385       2.385000   270        0.270000  
100        9          15         2600       2.600000   300        0.300000  
100        9          10         2208       2.208000   248        0.248000  
100        9          9          2065       2.065000   230        0.230000  
100        9          11         2402       2.402000   272        0.272000  
100        9          10         2616       2.616000   296        0.296000  
100        9          13         2280       2.280000   260        0.260000  
100        9          17         2580       2.580000   300        0.300000  
100        9          12         2528       2.528000   288        0.288000  
100        9          9          2745       2.745000   310        0.310000  
100        9          15         2634       2.634000   304        0.304000  
100        9          12         2375       2.375000   270        0.270000  
100        9          12         2511       2.511000   286        0.286000  
100        9          10         2123       2.123000   238        0.238000  
100        9          11         2555       2.555000   290        0.290000  
100        9          9          2762       2.762000   312        0.312000  
100        9          14         2661       2.661000   306        0.306000  
100        9          12         1933       1.933000   218        0.218000  
100        9          14         2117       2.117000   242        0.242000  
100        9          14         2066       2.066000   236        0.236000  
100        9          17         2155       2.155000   250        0.250000  
100        9          13         2314       2.314000   264        0.264000  
100        9          13         2535       2.535000   290        0.290000  
100        9          12         2375       2.375000   270        0.270000  
100        9          16         2403       2.403000   278        0.278000  
100        9          17         3039       3.039000   354        0.354000  
100        9          9          2065       2.065000   230        0.230000  
100        9          9          2082       2.082000   232        0.232000  
100        9          13         2501       2.501000   286        0.286000  
100        9          16         2216       2.216000   256        0.256000  
100        9          10         2327       2.327000   262        0.262000  
100        9          17         2495       2.495000   290        0.290000  
100        9          10         2191       2.191000   246        0.246000  
100        9          19         2101       2.101000   246        0.246000  
100        9          14         2355       2.355000   270        0.270000  
100        9          10         3364       3.364000   384        0.384000  
100        9          10         2055       2.055000   230        0.230000  
100        9          12         2375       2.375000   270        0.270000  
100        9          9          2269       2.269000   254        0.254000  
100        9          7          2374       2.374000   264        0.264000  
100        9          8          2177       2.177000   242        0.242000  
100        9          10         2208       2.208000   248        0.248000  
100        9          9          2524       2.524000   284        0.284000  
100        9          12         2324       2.324000   264        0.264000  
100        9          9          2082       2.082000   232        0.232000  
100        9          9          1980       1.980000   220        0.220000  
100        9          13         3164       3.164000   364        0.364000  
100        9          16         2284       2.284000   264        0.264000  
100        9          10         2497       2.497000   282        0.282000  
100        9          16         2913       2.913000   338        0.338000  
100        9          13         2382       2.382000   272        0.272000  
100        9          18         2281       2.281000   266        0.266000  
100        9          21         2421       2.421000   286        0.286000  
100        9          12         2851       2.851000   326        0.326000  
100        9          11         2623       2.623000   298        0.298000  
100        9          13         2314       2.314000   264        0.264000  
100        9          14         2253       2.253000   258        0.258000  
100        9          17         2444       2.444000   284        0.284000  
100        9          15         2549       2.549000   294        0.294000  
100        9          14         2185       2.185000   250        0.250000  
100        9          11         2351       2.351000   266        0.266000  
100        9          14         2661       2.661000   306        0.306000  
100        9          9          2473       2.473000   278        0.278000  
100        9          12         2324       2.324000   264        0.264000  
100        9          12         2902       2.902000   332        0.332000  
100        9          9          2337       2.337000   262        0.262000  
100        9          12         2494       2.494000   284        0.284000  
100        9          8          2160       2.160000   240        0.240000  
100        9          13         1974       1.974000   224        0.224000  
100        9          12         2511       2.511000   286        0.286000  
100        9          14         2865       2.865000   330        0.330000  
100        9          9          2881       2.881000   326        0.326000  
100        9          10         2378       2.378000   268        0.268000  
100        9          12         2426       2.426000   276        0.276000  
100        9          11         2300       2.300000   260        0.260000  
100        9          10         2123       2.123000   238        0.238000  
100        9          13         2467       2.467000   282        0.282000  
100        9          11         2300       2.300000   260        0.260000  
100        9          10         2990       2.990000   340        0.340000  
100        9          13         2246       2.246000   256        0.256000  
100        9          16         1961       1.961000   226        0.226000  
100        9          18         2077       2.077000   242        0.242000  
100        9          9          2524       2.524000   284        0.284000  
100        9          13         2127       2.127000   242        0.242000  
100        9          14         3239       3.239000   374        0.374000  
100        11         14         2363       1.969167   222        0.185000  
100        11         15         2519       2.099167   238        0.198333  
100        11         17         2726       2.271667   260        0.216667  
100        11         8          2708       2.256667   248        0.206667  
100        11         13         2690       2.241667   252        0.210000  
100        11         11         2693       2.244167   250        0.208333  
100        11         20         2816       2.346667   272        0.226667  
100        11         16         2696       2.246667   256        0.213333  
100        11         12         2576       2.146667   240        0.200000  
100        11         10         2663       2.219167   246        0.205000  
100        11         11         3113       2.594167   290        0.241667  
100        11         21         2552       2.126667   248        0.206667  
100        11         17         2600       2.166667   248        0.206667  
100        11         13         3110       2.591667   292        0.243333  
100        11         19         2429       2.024167   234        0.195000  
100        11         13         2480       2.066667   232        0.193333  
100        11         19         2618       2.181667   252        0.210000  
100        11         13         2417       2.014167   226        0.188333  
100        11         13         2753       2.294167   258        0.215000  
100        11         14         2888       2.406667   272        0.226667  
100        11         15         2708       2.256667   256        0.213333  
100        11         15         2813       2.344167   266        0.221667  
100        11         13         2627       2.189167   246        0.205000  
100        11         12         2828       2.356667   264        0.220000  
100        11         20         2921       2.434167   282        0.235000  
100        11         12         2534       2.111667   236        0.196667  
100        11         18         2945       2.454167   282        0.235000  
100        11         16         2780       2.316667   264        0.220000  
100        11         13         2690       2.241667   252        0.210000  
100        11         11         2504       2.086667   232        0.193333  
100        11         8          2708       2.256667   248        0.206667  
100        11         15         2939       2.449167   278        0.231667  
100        11         9          2402       2.001667   220        0.183333  
100        11         15         2540       2.116667   240        0.200000  
100        11         16         2675       2.229167   254        0.211667  
100        11         16         2696       2.246667   256        0.213333  
100        11         11         2966       2.471667   276        0.230000  
100        11         18         3176       2.646667   304        0.253333  
100        11         12         2471       2.059167   230        0.191667  
100        11         15         2330       1.941667   220        0.183333  
100        11         12         2681       2.234167   250        0.208333  
100        11         17         2600       2.166667   248        0.206667  
100        11         15         2519       2.099167   238        0.198333  
100        11         14         2804       2.336667   264        0.220000  
100        11         15         2414       2.011667   228        0.190000  
100        11         11         2840       2.366667   264        0.220000  
100        11         11         2693       2.244167   250        0.208333  
100        11         11         2861       2.384167   266        0.221667  
100        11         9          2654       2.211667   244        0.203333  
100        11         17         2705       2.254167   258        0.215000  
100        11         23         3200       2.666667   312        0.260000  
100        11         21         2321       1.934167   226        0.188333  
100        11         13         2858       2.381667   268        0.223333  
100        11         11         3407       2.839167   318        0.265000  
