Count      N          d          Go Home   
9     10         9          32        
18     10         9          25        
9     10         9          37        
18     10         9          28        
18     10         9          30        
9     10         9          29        
9     10         9          52        
18     10         9          21        
27     10         9          41        
18     10         9          23        
9     10         9          19        
18     10         9          17        
9     10         9          49        
18     10         9          14        
18     10         9          18        
18     10         9          41        
18     10         9          16        
9     10         9          41        
18     10         9          28        
9     10         9          21        
9     10         9          25        
18     10         9          33        
18     10         9          27        
18     10         9          17        
18     10         9          34        
9     10         9          40        
18     10         9          37        
18     10         9          19        
18     10         9          37        
36     10         9          46        
9     10         9          24        
9     10         9          18        
18     10         9          22        
27     10         9          19        
27     10         9          14        
36     10         9          24        
18     10         9          24        
9     10         9          18        
9     10         9          30        
9     10         9          35        
18     10         9          39        
9     10         9          18        
9     10         9          24        
9     10         9          42        
9     10         9          37        
18     10         9          17        
11     10         11         11        
11     10         11         21        
11     10         11         24        
11     10         11         22        
11     10         11         34        
22     10         11         32        
22     10         11         17        
11     10         11         21        
11     10         11         28        
22     10         11         10        
22     10         11         10        
11     10         11         22        
22     10         11         36        
11     10         11         61        
22     10         11         21        
11     10         11         19        
22     10         11         27        
11     10         11         27        
22     10         11         46        
11     10         11         43        
22     10         11         18        
22     10         11         32        
11     10         11         47        
33     10         11         29        
11     10         11         48        
11     10         11         24        
11     10         11         28        
11     10         11         25        
22     10         11         37        
22     10         11         50        
22     10         11         31        
11     10         11         10        
22     10         11         22        
11     10         11         23        
22     10         11         33        
22     10         11         21        
22     10         11         12        
11     10         11         50        
11     10         11         30        
22     10         11         22        
22     10         11         19        
11     10         11         28        
22     10         11         19        
22     10         11         17        
11     10         11         20        
33     10         11         66        
11     10         11         32        
22     10         11         40        
11     10         11         33        
22     10         11         31        
11     10         11         32        
11     10         11         16        
11     10         11         28        
22     10         11         10        
33     10         11         42        
22     10         11         29        
11     10         11         22        
11     10         11         19        
11     10         11         24        
11     10         11         26        
11     10         11         43        
11     10         11         20        
22     10         11         19        
11     10         11         74        
11     10         11         41        
22     10         11         19        
11     10         11         39        
11     10         11         21        
11     10         11         20        
22     10         11         18        
22     10         11         10        
11     10         11         28        
11     10         11         43        
11     10         11         25        
22     10         11         25        
22     10         11         35        
11     10         11         11        
11     10         11         27        
22     10         11         23        
11     10         11         37        
22     10         11         16        
11     10         11         47        
11     10         11         32        
11     10         11         15        
44     10         11         12        
11     10         11         49        
11     10         11         40        
22     10         11         24        
11     10         11         20        
11     10         11         22        
11     10         11         34        
33     10         11         41        
11     10         11         18        
22     10         11         47        
33     10         11         36        
22     10         11         17        
33     10         11         39        
11     10         11         34        
22     10         11         26        
22     10         11         28        
13     10         13         10        
26     10         13         37        
26     10         13         17        
13     10         13         29        
26     10         13         35        
13     10         13         28        
13     10         13         27        
13     10         13         23        
26     10         13         24        
13     10         13         10        
13     10         13         53        
26     10         13         39        
26     10         13         35        
26     10         13         10        
26     10         13         31        
13     10         13         44        
13     10         13         10        
13     10         13         10        
13     10         13         10        
13     10         13         45        
13     10         13         38        
13     10         13         30        
13     10         13         25        
13     10         13         22        
13     10         13         13        
26     10         13         38        
13     10         13         17        
13     10         13         10        
13     10         13         21        
13     10         13         29        
26     10         13         22        
26     10         13         23        
26     10         13         21        
26     10         13         28        
26     10         13         21        
26     10         13         25        
26     10         13         10        
26     10         13         24        
13     10         13         45        
13     10         13         29        
13     10         13         21        
13     10         13         39        
13     10         13         42        
26     10         13         38        
13     10         13         54        
26     10         13         24        
39     10         13         38        
13     10         13         37        
13     10         13         14        
26     10         13         37        
13     10         13         29        
13     10         13         28        
26     10         13         21        
13     10         13         10        
39     10         13         20        
13     10         13         23        
26     10         13         15        
13     10         13         34        
26     10         13         35        
13     10         13         43        
26     10         13         37        
13     10         13         24        
13     10         13         29        
13     10         13         36        
13     10         13         22        
13     10         13         18        
26     10         13         18        
13     10         13         10        
26     10         13         41        
13     10         13         45        
26     10         13         41        
52     10         13         31        
13     10         13         20        
13     10         13         10        
26     10         13         29        
13     10         13         23        
26     10         13         56        
13     10         13         21        
13     10         13         13        
26     10         13         24        
26     10         13         23        
13     10         13         34        
26     10         13         40        
26     10         13         47        
13     10         13         27        
26     10         13         15        
13     10         13         28        
26     10         13         75        
13     10         13         33        
13     10         13         16        
26     10         13         33        
13     10         13         20        
26     10         13         22        
13     10         13         40        
26     10         13         34        
13     10         13         42        
26     10         13         10        
13     10         13         11        
13     10         13         23        
13     10         13         14        
30     10         15         18        
15     10         15         32        
45     10         15         10        
15     10         15         11        
15     10         15         20        
15     10         15         13        
15     10         15         10        
15     10         15         15        
15     10         15         19        
15     10         15         34        
15     10         15         20        
15     10         15         20        
30     10         15         24        
30     10         15         16        
30     10         15         36        
15     10         15         10        
15     10         15         10        
15     10         15         19        
15     10         15         37        
30     10         15         24        
15     10         15         41        
30     10         15         12        
30     10         15         42        
30     10         15         32        
15     10         15         47        
30     10         15         30        
15     10         15         53        
15     10         15         11        
30     10         15         15        
15     10         15         27        
30     10         15         11        
15     10         15         16        
15     10         15         34        
15     10         15         42        
15     10         15         22        
15     10         15         45        
15     10         15         30        
15     10         15         68        
15     10         15         42        
30     10         15         31        
15     10         15         12        
15     10         15         20        
30     10         15         32        
15     10         15         17        
15     10         15         34        
15     10         15         43        
15     10         15         42        
15     10         15         23        
30     10         15         28        
30     10         15         26        
