Count      N          d          Go Home   
27     10         9          24        
18     10         9          25        
9     10         9          31        
9     10         9          20        
18     10         9          24        
18     10         9          46        
27     10         9          20        
18     10         9          31        
9     10         9          21        
18     10         9          23        
9     10         9          25        
18     10         9          18        
18     10         9          34        
18     10         9          36        
27     10         9          20        
9     10         9          33        
18     10         9          13        
9     10         9          24        
18     10         9          18        
18     10         9          22        
18     10         9          37        
9     10         9          51        
18     10         9          46        
18     10         9          19        
18     10         9          18        
18     10         9          19        
9     10         9          13        
18     10         9          32        
18     10         9          37        
18     10         9          38        
18     10         9          62        
9     10         9          37        
9     10         9          46        
9     10         9          41        
18     10         9          26        
27     10         9          14        
9     10         9          39        
18     10         9          37        
18     10         9          29        
27     10         9          35        
18     10         9          44        
18     10         9          27        
18     10         9          22        
18     10         9          39        
9     10         9          33        
18     10         9          26        
11     10         11         35        
11     10         11         34        
11     10         11         31        
22     10         11         61        
11     10         11         31        
11     10         11         40        
33     10         11         15        
22     10         11         21        
11     10         11         20        
11     10         11         24        
22     10         11         34        
22     10         11         24        
11     10         11         18        
11     10         11         26        
11     10         11         21        
22     10         11         18        
11     10         11         42        
11     10         11         10        
22     10         11         22        
11     10         11         22        
11     10         11         23        
22     10         11         29        
22     10         11         31        
11     10         11         23        
22     10         11         31        
22     10         11         26        
11     10         11         16        
11     10         11         35        
11     10         11         43        
22     10         11         25        
11     10         11         54        
22     10         11         39        
33     10         11         25        
11     10         11         10        
11     10         11         18        
22     10         11         20        
11     10         11         21        
11     10         11         19        
33     10         11         70        
33     10         11         58        
33     10         11         45        
11     10         11         23        
11     10         11         38        
11     10         11         33        
22     10         11         31        
22     10         11         21        
22     10         11         16        
22     10         11         20        
11     10         11         39        
33     10         11         22        
11     10         11         44        
11     10         11         19        
22     10         11         25        
22     10         11         10        
11     10         11         44        
11     10         11         21        
11     10         11         49        
11     10         11         20        
11     10         11         55        
11     10         11         10        
22     10         11         39        
11     10         11         12        
11     10         11         10        
11     10         11         45        
33     10         11         18        
22     10         11         28        
11     10         11         27        
22     10         11         25        
11     10         11         28        
11     10         11         20        
22     10         11         28        
11     10         11         26        
11     10         11         22        
11     10         11         36        
11     10         11         67        
33     10         11         68        
11     10         11         31        
11     10         11         20        
22     10         11         26        
11     10         11         48        
11     10         11         28        
11     10         11         28        
11     10         11         35        
22     10         11         25        
11     10         11         12        
11     10         11         32        
11     10         11         18        
22     10         11         32        
11     10         11         29        
11     10         11         27        
11     10         11         40        
11     10         11         35        
11     10         11         17        
11     10         11         20        
22     10         11         26        
22     10         11         38        
11     10         11         43        
11     10         11         35        
22     10         11         30        
11     10         11         39        
26     10         13         10        
13     10         13         19        
26     10         13         56        
26     10         13         47        
26     10         13         25        
26     10         13         22        
26     10         13         18        
13     10         13         22        
26     10         13         12        
26     10         13         16        
13     10         13         42        
13     10         13         18        
13     10         13         23        
13     10         13         23        
26     10         13         31        
26     10         13         23        
13     10         13         34        
13     10         13         21        
13     10         13         13        
26     10         13         25        
26     10         13         40        
26     10         13         49        
13     10         13         15        
13     10         13         33        
13     10         13         25        
26     10         13         13        
26     10         13         24        
13     10         13         17        
26     10         13         21        
13     10         13         10        
13     10         13         45        
13     10         13         28        
26     10         13         27        
13     10         13         34        
26     10         13         32        
13     10         13         18        
13     10         13         24        
26     10         13         24        
13     10         13         36        
13     10         13         33        
13     10         13         23        
13     10         13         54        
26     10         13         10        
13     10         13         27        
13     10         13         16        
13     10         13         47        
13     10         13         20        
13     10         13         42        
13     10         13         48        
26     10         13         22        
26     10         13         10        
13     10         13         43        
13     10         13         20        
13     10         13         18        
13     10         13         28        
26     10         13         27        
13     10         13         15        
13     10         13         24        
26     10         13         17        
13     10         13         24        
13     10         13         39        
13     10         13         34        
13     10         13         12        
13     10         13         37        
26     10         13         22        
13     10         13         19        
39     10         13         44        
39     10         13         10        
13     10         13         24        
13     10         13         33        
26     10         13         52        
13     10         13         31        
13     10         13         28        
13     10         13         26        
13     10         13         11        
13     10         13         13        
26     10         13         46        
13     10         13         13        
13     10         13         18        
13     10         13         47        
26     10         13         32        
26     10         13         51        
13     10         13         15        
26     10         13         27        
26     10         13         49        
26     10         13         24        
13     10         13         10        
26     10         13         23        
13     10         13         35        
26     10         13         31        
13     10         13         53        
13     10         13         26        
13     10         13         45        
26     10         13         17        
13     10         13         25        
52     10         13         37        
13     10         13         18        
13     10         13         15        
26     10         13         29        
26     10         13         39        
30     10         15         10        
30     10         15         10        
15     10         15         32        
15     10         15         35        
15     10         15         10        
15     10         15         34        
15     10         15         17        
30     10         15         29        
15     10         15         31        
15     10         15         45        
30     10         15         10        
15     10         15         13        
15     10         15         19        
15     10         15         30        
15     10         15         18        
15     10         15         36        
15     10         15         16        
30     10         15         16        
30     10         15         30        
15     10         15         23        
15     10         15         23        
15     10         15         23        
15     10         15         56        
15     10         15         32        
30     10         15         25        
15     10         15         27        
15     10         15         32        
15     10         15         10        
15     10         15         38        
30     10         15         15        
15     10         15         52        
15     10         15         21        
15     10         15         16        
15     10         15         10        
15     10         15         15        
15     10         15         23        
30     10         15         23        
30     10         15         28        
15     10         15         15        
15     10         15         24        
30     10         15         20        
15     10         15         10        
15     10         15         21        
15     10         15         53        
45     10         15         22        
15     10         15         37        
15     10         15         30        
30     10         15         25        
15     10         15         41        
15     10         15         30        
30     10         15         62        
15     10         15         49        
15     10         15         49        
30     10         15         11        
15     10         15         20        
30     10         15         31        
30     10         15         36        
15     10         15         20        
15     10         15         46        
15     10         15         37        
15     10         15         41        
15     10         15         41        
15     10         15         32        
15     10         15         21        
15     10         15         46        
15     10         15         35        
30     10         15         10        
30     10         15         28        
15     10         15         44        
15     10         15         28        
45     10         15         31        
30     10         15         18        
15     10         15         29        
15     10         15         25        
15     10         15         19        
15     10         15         11        
15     10         15         24        
15     10         15         44        
15     10         15         32        
15     10         15         38        
15     10         15         40        
30     10         15         32        
15     10         15         17        
15     10         15         23        
15     10         15         18        
15     10         15         32        
30     10         15         27        
15     10         15         21        
15     10         15         26        
15     10         15         42        
15     10         15         56        
15     10         15         10        
15     10         15         23        
30     10         15         43        
15     10         15         38        
15     10         15         38        
15     10         15         26        
30     10         15         10        
30     10         15         23        
30     10         15         23        
18     20         3          66        
6     20         3          62        
9     20         3          79        
30     20         3          80        
24     20         3          77        
*42     20         3          72        
24     20         3          69        
36     20         3          75        
18     20         3          73        
42     20         3          69        
42     20         3          111       
24     20         3          66        
42     20         3          96        
18     20         3          98        
27     20         3          60        
24     20         3          71        
42     20         3          71        
30     20         3          76        
12     20         3          73        
21     20         3          67        
36     20         3          96        
36     20         3          107       
9     20         3          65        
24     20         3          76        
9     20         3          73        
24     20         3          75        
9     20         3          80        
15     20         3          86        
30     20         3          69        
21     20         3          121       
18     20         3          53        
18     20         3          71        
15     20         3          86        
12     20         3          59        
18     20         3          95        
24     20         3          80        
15     20         3          58        
15     20         3          95        
36     20         3          87        
30     20         3          76        
30     20         3          76        
39     20         3          66        
21     20         3          62        
21     20         3          69        
27     20         3          71        
15     20         3          83        
15     20         3          63        
45     20         3          64        
15     20         3          74        
27     20         3          60        
30     20         3          82        
24     20         3          80        
27     20         3          57        
9     20         3          55        
39     20         3          62        
9     20         3          72        
24     20         3          73        
36     20         3          54        
48     20         3          109       
21     20         3          82        
66     20         3          63        
42     20         3          67        
18     20         3          54        
21     20         3          62        
9     20         3          67        
15     20         3          71        
12     20         3          75        
24     20         3          64        
24     20         3          99        
33     20         3          112       
24     20         3          57        
24     20         3          78        
54     20         3          61        
24     20         3          71        
12     20         3          72        
45     20         3          68        
24     20         3          85        
12     20         3          63        
27     20         3          61        
81     20         3          70        
27     20         3          68        
24     20         3          61        
30     20         3          70        
24     20         3          47        
12     20         3          57        
24     20         3          52        
27     20         3          70        
21     20         3          74        
30     20         3          92        
27     20         3          78        
12     20         3          72        
*6     20         3          59        
21     20         3          57        
24     20         3          86        
12     20         3          91        
12     20         3          65        
18     20         3          63        
24     20         3          56        
33     20         3          79        
36     20         3          52        
30     20         5          76        
15     20         5          89        
20     20         5          88        
30     20         5          87        
45     20         5          70        
25     20         5          63        
20     20         5          58        
15     20         5          84        
30     20         5          77        
25     20         5          83        
20     20         5          73        
25     20         5          84        
20     20         5          67        
10     20         5          74        
25     20         5          81        
35     20         5          65        
25     20         5          47        
25     20         5          89        
20     20         5          60        
25     20         5          105       
15     20         5          94        
35     20         5          119       
30     20         5          82        
45     20         5          51        
25     20         5          101       
15     20         5          57        
15     20         5          69        
25     20         5          62        
20     20         5          98        
25     20         5          65        
30     20         5          138       
30     20         5          80        
35     20         5          71        
25     20         5          65        
10     20         5          81        
5     20         5          89        
30     20         5          62        
20     20         5          97        
35     20         5          77        
30     20         5          88        
20     20         5          74        
25     20         5          71        
15     20         5          57        
20     20         5          102       
30     20         5          62        
25     20         5          68        
15     20         5          82        
50     20         5          81        
15     20         5          73        
15     20         5          88        
15     20         5          81        
25     20         5          122       
15     20         5          73        
20     20         5          94        
25     20         5          60        
35     20         5          115       
15     20         5          65        
25     20         5          104       
20     20         5          73        
25     20         5          84        
25     20         5          81        
30     20         5          59        
10     20         5          70        
30     20         5          57        
20     20         5          101       
20     20         5          90        
35     20         5          74        
20     20         5          65        
40     20         5          72        
30     20         5          38        
40     20         5          116       
15     20         5          60        
25     20         5          91        
30     20         5          128       
15     20         5          69        
25     20         5          97        
30     20         5          67        
30     20         5          58        
30     20         5          65        
20     20         5          77        
35     20         5          43        
15     20         5          88        
20     20         5          87        
